May	may
colt	day
water	ab
ignorant	abdal
width	en
soul	can
that	o
louse	bit
oath	and
gammon	mars
name	ad
dog	it
left	sol
people	el
height	boy
soot	his
end	son
corner	tin
scholar	alim
honey	bal
lamp	lampa
prayer	dua
paternal aunt	mama
first	ilk
whistle	fit
property	mal
share	pay
era	era
abundant	bol
king	kral
elephant	fil
raw	xam
hidden	kin
he	о
Cyrillic	и
Cyrillic	ч
rare	nadir
help	yardım
flour	un
all the way	ta
roof	dam
shame	ar
hungry	ac
cunt	am
bad	pis
grandfather	baba
who	kim
current	tok
Norway	Norveç
God	Allah
dash	tire
arrow	ox
plan	plan
mail	yam
novel	roman
ball	top
light	nur
tight	kip
quill	pero
net	tor
penis	sik
steep	dik
table	stol
uncountable	tale
island	ada
fire	od
dative	aid
movie	film
dawn	dan
-less	bi-
boy	oğlan
series	serial
national	milli
March	mart
alas	dad
variegated	ala
ten	он
religion	din
computer virus	virus
comfortable	abad
emperor	imperator
this	bu
countable	su
year	il
telephone	telefon
supreme	ali
moon	ay
gasoline	benzin
actor	artist
wedding	toy
Latin	ә
Cyrillic	ғ
Latin	ƣ
building	bina
thigh	bud
meadow	tala
cart	araba
euro	avro
ـدا	-da
hydrogen	hidrogen
neoplasm	ur
امام	imam
mother	ana
announcement	elan
stock	soy
even	lap
mulberry	tut
earth	yer
rite	ayin
layer	qat
then	onda
bastardly	bic
that	ki
spy	casus
great	ulu
there	ora
countable	mis
condition	hal
feeling	hiss
I	من
founder	bani
lower	alt
shape	forma
thousand	min
temperature	temperatur
science	elm
widow	dul
district	rayon
back	ard
there is	var
police	polis
Azeri	ت
bottom	dib
China	Çin
farewell	vida
divided	جدا
rebellious	asi
house	ev
place	cay
almond	badam
strand	tel
Yugoslavia	Југославија
courage	dux
letter	a
Monaco	Monako
Moscow	Moskva
Cyrillic	һ
human	adam
Internet	internet
order	orden
pyramid	piramida
dirt	kir
vowel	sait
square	kvadrat
conquest	istila
grammar	грамматика
faith	iman
proqram təminatı	PT
shit	pox
market	базар
ceiling	tavan
ballerina	balerina
saturated	tox
six	altı
five	beş
grass	ot
ـدان	-dan
clock	saat
Hebrew	ivrit
barley	arpa
distance	ara
ice	buz
football	futbol
herd	sürü
bush	kol
world	dünya
large	iri
but	amma
helicopter	helikopter
liquid	maye
balcony	balkon
friend	dost
Russia	Русија
Serb	serb
dolphin	delfin
dolphin	делфин
skin	cild
vase	ваза
vase	vaza
spirit	ruh
experiment	eksperiment
name	isim
comet	kometa
television set	televizor
child	bala
table	masa
quick	tez
gay	gey
sable	samur
lawyer	advokat
doctor	doktor
blue	mavi
spring	bahar
spring	yaz
tomorrow	sabah
eye	göz
father	ata
palace	saray
plain	ova
name	ад
bicycle	velosiped
beloved	yar
color	боја
calf	dana
voice	avaz
remembering	zikr
handbag	kif
but	lakin
dragon	اژدها
coal	kömür
yoghurt	yoğurt
empty	boş
lampshade	abajur
owner	sahib
mullah	molla
inheritance	irs
head	baş
we	biz
salat	namaz
typesetting	nabor
lake	göl
front	ön
vein	damar
island	ада
wordlist	sözlük
blind	kor
deaf	kar
stove	soba
upper	üst
puppy	küçük
right	sağ
egg	yumurta
new	yeni
ax	balta
pearl	inci
violence	zor
book	kitab
soap	sabun
pomegranate	nar
carp	karp
hello	salam
ruble	manat
smooth	hamar
like	kimi
army	ordu
camp	oba
air	hava
here	burda
allegedly	guya
wind	yel
master	usta
deposit	beh
language	lisan
quiet	sakit
millet	darı
ox	öküz
countable	qan
high	uca
pitchfork	yaba
well-being	kef
palm	aya
crown	tac
bear	ayı
hammer	varta
piglet	pota
ember	köz
tooth	diş
knee	diz
fog	duman
Russian	rus
bald	daz
pus	irin
farm	ferma
calm	aram
unripe	kal
man	әр
time	zaman
countable	سو
fodder	yem
countable	су
garment	libas
warrior	qazi
throng	basabas
key	آچار
young	cavan
one	بیر
port	liman
inheritance	miras
robbery	talan
lathe	torna
ruined	viran
spoon	qaşıq
firmness	durum
لوغت	لغت
bronze	tunc
beloved	sevgili
illness	azar
elephant	фил
Albanian	alban
university	universitet
Netherlands	Niderland
bazaar	bazar
quietly	asta
volcano	vulkan
salary	maaş
day	gün
end	сон
Vatican	Vatikan
apostrophe	apostrof
banana	banan
lacrosse	lakros
six	алты
broken	qırıq
sixty	altmış
side	yan
one	бир
cosmos	kosmos
coagulated	qatıq
earring	sırğa
bitch	qancıq
debt	borc
color	boya
she	dişi
food	aş
hostile	abordaj
agency	agentlik
advance	avans
autobus	avtobus
automatic	avtomatik
automobile	avtomobil
finger	barmaq
mountain	dağ
thorn	cun
wool	yun
ocean	okean
table	miz
archaeology	arxeologiya
thirty	otuz
seventy	yetmiş
concert	konsert
compass	kompas
ticket	bilet
outdoors	bayır
friendship	dostluq
union	birlik
jury	jüri
victim	qurban
well	quyu
cult	sekta
woman	qadın
love	sevgi
walk	aylanmaq
base	baza
biology	biologiya
eyebrow	qaş
population	اهل
you	siz
crow	qarğa
burn	yanmaq
sleep	yatmaq
heap	qalamaq
rule	qayda
life	جان
throat	boğaz
onion	soğan
shepherd	çoban
teapot	çaynik
find	tapmaq
devil	şeytan
soap	صابون
sweater	sviter
sickle	oraq
helpless	aciz
April	aprel
oxygen	oksigen
team	komanda
commander	komandir
commander	komandan
comedy	komediya
conservatory	konservatoriya
